codigo_fns	codigo_interno	descripcion	ambulatorio	urgencia	hospitalizado
No aplica	35006000	ESTUDIO VIRUS HERPES 6 POR BIOL. MOLECUL	61365	61365	61365
No aplica	35020300	VIRUS HERPES POR PCR (LCR) -	61365	61365	61365
No aplica	35020400	VIRUS EPSTEIN BARR POR PCR (LCR) -	61365	61365	61365
No aplica	35094400	ADENOVIRUS POR PCR (PROPIO)	61365	61365	61365
No aplica	35097500	CL. DIFFICILE X PCR (PROPIO)	61365	61365	61365
No aplica	35104000	VIRUS HERPES 1 X PCR CUALI EN LCR (PROPIO)	61365	61365	61365
No aplica	35104100	VIRUS HERPES 2 X PCR (PROPIO)	61365	61365	61365
No aplica	35104200	VIRUS HERPES 2 X PCR EN LCR (PROPIO)	61365	61365	61365
No aplica	35104300	VIRUS HERPES 6 X PCR (PROPIO)	61365	61365	61365
No aplica	35104700	VIRUS VARICELA ZOSTER X PCR (PROPIO)	61365	61365	61365
No aplica	35103600	TRIPTASA (PROPIO)	62625	62625	62625
No aplica	35093600	NIVELES DE TACROLIMUS	6477	6477	6477
No aplica	35098200	EVEROLIMUS (PROPIO)	6477	6477	6477
No aplica	35102900	SIROLIMUS (PROPIO)	6477	6477	6477
No aplica	35103000	TACROLIMUS (PROPIO)	6477	6477	6477
No aplica	35003800	DETERMINACION FACTOR V LEIDEN	6735	6735	6735
No aplica	35005400	ESTUDIO FACTOR V LEIDEN	6735	6735	6735
No aplica	35098400	FACTOR V MUTACION (PROPIO)	6735	6735	6735
No aplica	35005600	ESTUDIO MUTACION GEN DE LA PROTROMBINA	675	675	675
No aplica	35096800	CATECOLAMINA EN PL Y ORINA (PROPIO)	7017	7017	7017
No aplica	35015500	NATURAL KILLER CD	72	72	72
No aplica	35100700	PANEL BACTERIANO MENINGITIS (PROPIO)	723	723	723
No aplica	35101700	PANEL VIRAL MENINGITIS X PCR (PROPIO)	723	723	723
No aplica	35098600	ELECTROFORESIS HEMOGL (PROPIO)	7482	7482	7482
No aplica	35004200	DETERMINACION HPV ( VIRUS PAPILOMA HUMAN	7671	7671	7671
No aplica	35104500	VIRUS PAPILOMA HUMANO X PCR (PROPIO)	7671	7671	7671
No aplica	35007500	VIRUS HEPATITIS C ( DNA )	7944	7944	7944
No aplica	35098800	PCR PARA VIRUS HEPATITIS B Y C (PROPIO)	7944	7944	7944
No aplica	35101000	PANEL ETS X PCR (PROPIO)	795	795	795
No aplica	35013700	IGE ESPECIFICA 36 ALERGENOS	7962	7962	7962
No aplica	35100800	PANEL CHILE IGE ESPECIFICA (PROPIO)	7962	7962	7962
No aplica	35023700	SEROLOGIA DIABETES MELLITUS	80115	80115	80115
No aplica	35100000	MARC INMUNOLOG DIABETES (PROPIO)	80115	80115	80115
No aplica	35100200	METANEFRINAS URINARIAS (PROPIO)	80115	80115	80115
No aplica	35101500	PANEL RESPIRATORIO BK16 X PCR (PROPIO)	8352	8352	8352
No aplica	35101800	PARVOVIRUS B19 PCR X PCR (PROPIO)	8352	8352	8352
No aplica	35093500	VIRUS JC POR PCR	8355	8355	8355
No aplica	35103800	VIRUS BK (PROPIO)	8355	8355	8355
No aplica	35104400	VIRUS JC (PROPIO)	8355	8355	8355
No aplica	35005500	ESTUDIO M TUBERCULOSIS POR BIOL. MOLECUL	85245	85245	85245
No aplica	35100300	MYCOBACTERIUM X PCR (PROPIO)	85245	85245	85245
No aplica	35011600	SEROLOGIA AMEBIASIS PANEL PARASITARIOS	8838	8838	8838
No aplica	35101400	PANEL PARASITARIOS (PROPIO)	8838	8838	8838
No aplica	35090300	ANTITROMBINA III FUNCIONAL	88545	88545	88545
No aplica	35095800	ANTITROMBINA III ANTIG Y FUN (PROPIO)	88545	88545	88545
No aplica	35098900	HEPATITIS E IGM (PROPIO)	91035	91035	91035
No aplica	35102800	PROTEINA S ACTIVIDAD (PROPIO)	945	945	945
No aplica	35002200	ANTIGENO CITOMEGALOVIRUS ( DNA VIRAL )	9546	9546	9546
No aplica	35002600	CARGA VIRAL CITOMEGALOVITUS ( LIGTH CYC	9546	9546	9546
No aplica	35020600	ANTIGENEMIA CITOMEGALOVIRUS -	9546	9546	9546
No aplica	35021200	VIRUS VARICELA ZOSTER POR PCR (LCR)	9546	9546	9546
No aplica	35021300	CITOMEGALOVIRUS POR PCR (LCR) -	9546	9546	9546
No aplica	35097200	CMV X PCR CUANTITATIVO (PROPIO)	9546	9546	9546
No aplica	35097300	CARGA VIRAL CMV (PROPIO)	9546	9546	9546
No aplica	35101200	PANEL HERPEX BK11 (PROPIO)	96405	96405	96405
No aplica	35103200	TIPIFICACION HLA DQ2 POR PCR  (PROPIO)	10056	10056	10056
No aplica	35011400	ACILCARNITINA	10125	10125	10125
No aplica	35002800	CARGA VIRAL VIRUS EPSTEIN BARR ( LIGTH C	10398	10398	10398
No aplica	35098000	EPSTEIN BARR X PCR (PROPIO)	10398	10398	10398
No aplica	35103900	VIRUS DENGUE X PCR (PROPIO)	104445	104445	104445
No aplica	35104800	VIRUS ZIKA X PCR (PROPIO)	104445	104445	104445
No aplica	35101300	PANEL IGE ESPECIFICA (PROPIO)	10614	10614	10614
No aplica	35001800	ANTICUERPOS ANTI NEUMOCOCO ( SEROTIPO)	109995	109995	109995
No aplica	35016100	AC. ANTI NEUMOCOCO	109995	109995	109995
No aplica	35095500	AC ANTI NEUMOCC 10 SEROT (PROPIO)	109995	109995	109995
No aplica	35095700	ANTIGENO DE NEUMOCOCO (PROPIO)	109995	109995	109995
No aplica	35007200	RESISTENCIA A PROTEINA C ACTIVADA	1125	1125	1125
No aplica	35090500	PROTEINA C ANTIGENICA	1125	1125	1125
No aplica	35090600	PROTEINA C FUNCIONAL	1125	1125	1125
No aplica	35102700	PROTEINA C Y PROTEINA S  (PROPIO)	1125	1125	1125
No aplica	35101100	PANEL GASTROENTERITIS BACT VIRAL (PROPIO)	115875	115875	115875
No aplica	35096700	CARGA VIRAL DE HEP B Y C (PROPIO)	116775	116775	116775
No aplica	35002300	BANDAS OLIGOCLONALES LCR	132221	132221	132221
No aplica	35096000	BANDAS OLIGONALES (PROPIO)	132221	132221	132221
No aplica	35007800	CARGA VIRAL VIH	140355	140355	140355
No aplica	35097700	CUANTIF ARN VIRAL VIH (PROPIO)	140355	140355	140355
No aplica	35099100	HIV GENES PROTEASA Y TRANSCRIPTASA GENOG (PROPIO)	143355	143355	143355
No aplica	35099400	C1Q ESTERASA (PROPIO)	143355	143355	143355
No aplica	35013800	SUB POBLACION LINFOCITARIA	150	150	150
No aplica	35005100	ESTUDIO DE TROMBOFILIA	1875	1875	1875
No aplica	35011500	LEGIONELLA ORINA	4012	4012	4012
No aplica	1	Guarismo 1	43341	43341	43341
No aplica	2	Guarismo 2	56882	56882	56882
No aplica	3	Guarismo 3	83968	83968	83968
No aplica	4	Guarismo 4	123244	123244	123244
No aplica	5	Guarismo 5	NA	NA	195022
No aplica	6	Guarismo 6	NA	NA	365672
No aplica	7	Guarismo 7	NA	NA	472321
No aplica	8	Guarismo 8	NA	NA	601545
No aplica	9	Guarismo 9	NA	NA	609449
No aplica	10	Guarismo 10	NA	NA	625473
No aplica	11	Guarismo 11	NA	NA	868124
No aplica	12	Guarismo 12	NA	NA	1110778
No aplica	13	Guarismo 13	NA	NA	1240644
202004	20200400	DIA CAMA DE HOSPITALIZACION SALA CUNA	NA	NA	71285
202005	20200500	DIA CAMA DE HOSPITALIZACION INCUBADORA	NA	NA	123424
202008	20200800	DIA CAMA HOSPITALIZACION ABREVIADA	NA	NA	5541
202101	20210000	DIA CAMA DE HOSP. HABITACION CUADRUPLE	NA	NA	9074
202102	20210200	DIA CAMA DE HOSP. HABITACION DOBLE	NA	NA	133888
202104	20210400	DIA CAMA DE HOSP. HABITACION INDIVIDUAL	NA	NA	196192
202201	20220100	DIA CAMA HOSPITALIZACION ADULTO EN UNIDAD DE CUIDADO INTENSIVO	NA	NA	869719
202301	20230100	DIA CAMA DE HOSP. INTERMEDIO ADULTO	NA	NA	468691
202303	20230300	DIA CAMA DE HOSP. INTERMEDIO NEONATAL	NA	NA	468691
